timeOpen,close,marketCap
2021-06-01,2.56943746,9254269.67
2021-05-31,2.6196306,9434351.27
2021-05-30,2.47506007,8913040.84
2021-05-29,2.42951831,8748389.71
2021-05-28,2.57183622,9260169.99
2021-05-27,2.58286494,9299202.2
2021-05-26,2.63275072,9478107.75
2021-05-25,2.54340694,9155781.75
2021-05-24,2.15217752,7746859.53
2021-05-23,2.24223105,8070411.5
2021-05-22,2.41958869,8708123.2
2021-05-21,2.39569731,8621498.21
2021-05-20,2.61414255,9406921.17
2021-05-19,2.27381002,8181629.93
2021-05-18,2.5263056,9089492.84
2021-05-17,2.54744599,9164875.69
2021-05-16,2.71831907,9778890.15
2021-05-15,2.72894576,9816392.53
2021-05-14,2.91118211,10471132.84
2021-05-13,2.86522848,10305067.99
2021-05-12,3.01018363,10825605.14
2021-05-11,3.40253613,12235714.82
2021-05-10,3.14476743,11307919.91
2021-05-09,3.19333623,11481705.46
2021-05-08,3.19049068,11470607.12
2021-05-07,3.07381961,11050317.55
2021-05-06,2.92222155,10504531.63
2021-05-05,2.86825209,10309758.27
2021-05-04,2.7166245,9764002.76
2021-05-03,2.73804096,9840233.71
2021-05-02,2.70214431,9710498.9
2021-05-01,2.73051556,9811712.13
2021-04-30,2.69328671,9677199.25
2021-04-29,2.49704216,8971403.29
2021-04-28,2.49665623,8969337.41
2021-04-27,2.39711766,8611088.41
2021-04-26,2.10696515,7568213.32
2021-04-25,1.79416841,6444148.07
2021-04-24,2.07277382,7444264.55
2021-04-23,2.95495463,10611773.9
2021-04-22,3.03365045,10893542.35
2021-04-21,3.10181909,11137484.92
2021-04-20,3.3195793,11918471.11
2021-04-19,3.19519627,11471010.86
2021-04-18,3.20645093,11510534.1
2021-04-17,3.19019354,11451290.95
2021-04-16,3.19491625,11467371.55
2021-04-15,3.25277842,11674159.9
2021-04-14,3.18631664,11434763.39
2021-04-13,3.20412674,11497806.68
2021-04-12,3.03233592,10880508.49
2021-04-11,3.05364136,10956115.51
2021-04-10,2.94959241,10581987.45
2021-04-09,2.96507971,10636732.66
2021-04-08,2.96047661,10619401.93
2021-04-07,3.04988333,10939264.51
2021-04-06,3.18719614,11430903.51
2021-04-05,3.22216748,11555432.01
2021-04-04,3.18015706,11403889.07
2021-04-03,3.13442137,11239009.68
2021-04-02,3.27033256,11725440.87
2021-04-01,3.14517682,11275814.78
2021-03-31,3.0772538,11031451.76
2021-03-30,3.0195324,10823681.94
2021-03-29,2.9517081,10579731
2021-03-28,2.92897584,10497414.16
2021-03-27,2.90963017,10427259.11
2021-03-26,2.92402503,10478019.65
2021-03-25,2.79350656,0
2021-03-24,2.76690436,0
2021-03-23,2.83179297,0
2021-03-22,2.81743269,0
2021-03-21,3.00720523,0
2021-03-20,2.90078579,0
2021-03-19,2.90256588,0
2021-03-18,2.59885088,0
2021-03-17,2.61299991,0
2021-03-16,2.61365637,0
2021-03-15,2.61236785,0
2021-03-14,2.55577651,0
2021-03-13,2.58455105,0
2021-03-12,2.30555418,0
2021-03-11,2.5429309,0
2021-03-10,2.51580001,0
2021-03-09,2.49340413,0
2021-03-08,2.35911761,0
2021-03-07,2.29792274,0
2021-03-06,2.07541479,0
2021-03-05,2.19386772,0
2021-03-04,1.94381436,0
2021-03-03,2.113546,0
2021-03-02,2.11233644,0
2021-03-01,2.15898003,7721249
2021-02-28,1.79849074,6431505.68
2021-02-27,2.06969032,7400747.48
2021-02-26,1.83912904,6575786.63
2021-02-25,1.82643472,6529876.74
2021-02-24,1.78206333,6370736.46
2021-02-23,1.63141874,5831721.4
2021-02-22,1.89122782,6759900.23
2021-02-21,1.88786241,6747337.35
2021-02-20,1.95740881,6995334.99
2021-02-19,1.92170653,6867197.99
2021-02-18,1.92114674,6864639.89
2021-02-17,1.9368107,6920012.15
2021-02-16,1.83779998,6565770.48
2021-02-15,1.71092819,6112009.6
2021-02-14,1.78755313,6385230.46
2021-02-13,1.36490897,4875126.93
2021-02-12,1.45406234,5193144.51
2021-02-11,1.49527591,5339906.67
2021-02-10,1.52683581,5452175.93
2021-02-09,1.43528283,5124829.85
2021-02-08,1.84813944,6598446.74
2021-02-07,1.36176267,4861529.13
2021-02-06,1.55260132,5542380.3
2021-02-05,1.36465004,4871049.45
2021-02-04,1.37955971,4923870.78
2021-02-03,1.37721871,4915119.01
2021-02-02,1.34920608,4814750.59
2021-02-01,1.393559,4972623.27
2021-01-31,1.293984,4616932.64
2021-01-30,1.35622952,4838631.05
2021-01-29,1.35674435,4840073.24
2021-01-28,1.3535272,4828203.62
2021-01-27,1.21493665,4333478.497
2021-01-26,1.30882611,4667982.667
2021-01-25,1.28373064,4578074.192
2021-01-24,1.27571483,4549145.787
2021-01-23,1.33138091,4747262.132
2021-01-22,1.3856239,4940268.037
2021-01-21,1.30944832,4668287.805
2021-01-20,1.49710521,5336862.428
2021-01-19,1.52843394,5448097.434
2021-01-18,1.5527924,5534466.125
2021-01-17,1.52865386,5447982.623
2021-01-16,1.57108562,5598743.027
2021-01-15,1.66170688,5921193.437
2021-01-14,1.85322887,6603102.052
2021-01-13,1.71394342,6106319.429
2021-01-12,1.46962642,5235450.306
2021-01-11,1.81420452,6462450.656
2021-01-10,1.76622918,6291033.296
2021-01-09,1.99747631,7114116.656
2021-01-08,2.07828229,7401292.639
2021-01-07,1.99020646,7087036.318
2021-01-06,2.24672434,7999818.17
2021-01-05,2.05907963,7331067.807
2021-01-04,1.98656853,7072311.472
2021-01-03,1.97250026,7021646.253
2021-01-02,1.84583333,6570190.647
2021-01-01,1.70355846,6063253.962
2020-12-31,1.70095503,6053479.721
2020-12-30,1.61467906,5745956.469
2020-12-29,1.58824748,5651423.2
2020-12-28,1.65239616,5879190.963
2020-12-27,1.49702126,5325920.865
2020-12-26,1.6248655,5780265.238
2020-12-25,1.51023154,5372016.614
2020-12-24,1.48436769,5279568.607
2020-12-23,1.4291978,5082905.498
2020-12-22,1.34267794,4774797.599
2020-12-21,1.27327342,4527603.676
2020-12-20,1.44400052,5134259.816
2020-12-19,1.54932125,5508257.459
